Nome do campo;Descrição;tipo;sensibilidade
Número do Cartão Nacional de Saúde (CNS);Identificação unívoca dos usuários das ações e serviços de saúde, com atribuição de um número único válido em todo o território nacional. (Port. nº 940/GM/MS/2011);cadastral;false
Nome completo;Nome completo;cadastral;false
Nome completo da mãe;Nome completo da mãe;cadastral;false
Sexo;"Texto codificado: Masculino; Feminino; Ignorado";cadastral;false
Raça/Cor;"Característica declarada pelas pessoas. Texto codificado conforme IBGE: Branca; Preta; Parda; Amarela; Indígena; Sem Informação";cadastral;true
Data de nascimento;Estima-se e informa-se apenas o ano de nascimento para contatos assistenciais de indivíduos sem identificação.;cadastral;false
Município de residência;Município de residência somente se o país de residência for o Brasil.;cadastral;false
CEP de residência;CEP de residência preenchido somente se o país de residência for o Brasil.;cadastral;false
País de nascimento;O CNS utiliza os mesmos códigos do IBGE.;não cadastral;false
Município de nascimento;Preenchido somente se o país de nascimento for o Brasil.;não cadastral;false
Número de identificação no CNES do estabelecimento de saúde que realizou o contato assistencial;Número de identificação no CNES (Cadastro Nacional de Estabelecimentos de Saúde) do estabelecimento de saúde que realizou o contato assistencial;não cadastral;false
Agravo/doença;Especifica a suspeição do agravo.;não cadastral;false
Data da Investigação;Informar a data da investigação;não cadastral;false
Ocupação/ramo de atividade econômica;"Informar a atividade exercida pelo paciente no setor formal; informal ou autônomo ou sua última atividade exercida quando paciente for desempregado. O ramo de atividade econômica do paciente refere-se as atividades econômicas desenvolvidas nos processos de produção do setor primário (agricultura e extrativismo); secundário (indústria) ou terciário (serviços e comércio)";não cadastral;false
Sinais clínicos (Febre);Informar qual sinal clínico ou achados laboratoriais inespecíficos;não cadastral;false
Sinais clínicos (Mialgia);Informar qual sinal clínico ou achados laboratoriais inespecíficos;não cadastral;false
Sinais clínicos (Cefaleia);Informar qual sinal clínico ou achados laboratoriais inespecíficos;não cadastral;false
Sinais clínicos (Exantema);Informar qual sinal clínico ou achados laboratoriais inespecíficos;não cadastral;false
Sinais clínicos (Vômito);Informar qual sinal clínico ou achados laboratoriais inespecíficos;não cadastral;false
Sinais clínicos (Náusea);Informar qual sinal clínico ou achados laboratoriais inespecíficos;não cadastral;false
Sinais clínicos (Dor nas costas);Informar qual sinal clínico ou achados laboratoriais inespecíficos;não cadastral;false
Sinais clínicos (Conjuntivite);Informar qual sinal clínico ou achados laboratoriais inespecíficos;não cadastral;false
Sinais clínicos (Artrite);Informar qual sinal clínico ou achados laboratoriais inespecíficos;não cadastral;false
Sinais clínicos (Artralgia intensa);Informar qual sinal clínico ou achados laboratoriais inespecíficos;não cadastral;false
Sinais clínicos (Petéquias);Informar qual sinal clínico ou achados laboratoriais inespecíficos;não cadastral;false
Sinais clínicos (Leucopenia);Informar qual sinal clínico ou achados laboratoriais inespecíficos;não cadastral;false
Sinais clínicos (Prova do laço);Informar qual sinal clínico ou achados laboratoriais inespecíficos;não cadastral;false
