Nome do campo;Descrição;tipo;sensibilidade
Nº do Prontuário;Nº do prontuário do paciente na unidade de saúde;cadastral;false
Tipo de Entrada;"Preencher com o código correspondente ao tipo de entrada do paciente na unidade de saúde. O “caso novo” é todo paciente que nunca se submeteu ao tratamento de tuberculose; ou o fez por até 30 dias. Os retratamentos podem acontecer por: “recidiva” após cura e “reingresso após abandono”; quando ocorre interrupção de um tratamento por mais de 30 dias. O “Não sabe” deve ser preenchido apenas quando esgotadas as possibilidades de investigação das entradas anteriores do paciente. A “transferência” se refere ao paciente encaminhado de outro serviço para seguimento do tratamento. Os casos com entrada “Pós-óbito” são aqueles identificados tardiamente; ou seja; no momento ou após a morte do paciente.";não cadastral;false
Populações Especiais - População privada de liberdade;Condição de vulnerabilidade. Sendo considerada População Privada de Liberdade a população prisional segundo a secretaria de administração penitenciária e/ou de justiça e a população cumprindo medida sócio educativa de restrição de liberdade.;não cadastral;false
Populações Especiais População em situação de rua;"Informar situação do paciente quanto à condição de
vulnerabilidade.";não cadastral;false
Populações Especiais  Profissional de saúde;Informar situação do paciente quanto à condição de vulnerabilidade.;não cadastral;false
Populações Especiais Imigrante;"Informar situação do paciente quanto à condição de vulnerabilidade. Sendo considerado Imigrante; o estrangeiro residente no Brasil por menos de 2 anos.";não cadastral;false
Beneficiário de programa de transferência de renda do governo;"Preencher com o código correspondente; se beneficiário de programa de transferência de renda do governo";não cadastral;false
Forma;"Forma clínica da tuberculose; por ocasião da notificação; segundo a sua localização. 1. Pulmonar; 2. Extrapulmonar; 3. Pulmonar + Extrapulmonar";não cadastral;false
Se extrapulmonar;Localização extrapulmonar da tuberculose nos casos em que o paciente apresente a forma clínica igual a 2 ou 3. O item “outra” se refere às formas extrapulmonares que não estão contidas nas categorias de 1 a 9.;não cadastral;false
Se extrapulmonar Outras especificar;Se extrapulmonar outro tipo que não os listados especificar;não cadastral;false
Doenças e;Informar se existem;não cadastral;false
agravos associados Aids;agravos associados à tuberculose por ocasião da notificação;não cadastral;false
Doenças e agravos associados Alcoolismo;Informar se existem agravos associados à tuberculose por ocasião da notificação;não cadastral;false
Doenças e agravos associados Diabetes;Informar se existem agravos associados à tuberculose por ocasião da notificação;não cadastral;false
Doenças e agravos associados Doença Mental;Informar se existem agravos associados à tuberculose por ocasião da notificação;não cadastral;false
Doenças e agravos associados Uso de drogas ilícitas;Informar se existem agravos associados à tuberculose por ocasião da notificação;não cadastral;false
Doenças e agravos associados Tabagismo;Informar se existem agravos associados à tuberculose por ocasião da notificação;não cadastral;false
Doenças e agravos associados Outras;Informar se existem agravos associados à tuberculose por ocasião da notificação;não cadastral;false
Doenças e agravos associados;Especificar qual outros agravos associados;não cadastral;false
Outro (Especificar);Resultado da  baciloscopia de escarro para BAAR (Bacilo álcool ácido resistente) realizada em 1ª e 2ª amostras para diagnóstico;não cadastral;false
Baciloscopia de escarro (diagnóstico);O resultado positivo em qualquer das baciloscopia de diagnóstico deve ser informado.;não cadastral;false
Radiografia do tórax;Resultado da radiografia do tórax por ocasião da notificação (a opção 3 diz respeito a outras alterações não compatíveis com a tuberculose);não cadastral;false
HIV;"Resultado da sorologia para o vírus da imunodeficiência adquirida; realizado anterior ou posteriormente a notificação de TB. Objetiva avaliar a coinfecção pelo HIV e não a oferta do teste aos pacientes de TB.";não cadastral;false
Terapia Antirretroviral durante o tratamento para a TB:;Monitorar o uso da Terapia Antirretroviral para HIV/AIDS durante o tratamento de tuberculose;não cadastral;false
Histopatologia;Resultado do exame histopatólogico para diagnóstico de TB;não cadastral;false
Cultura;Resultado da cultura de escarro ou outro material realizada para tuberculose;não cadastral;false
Teste Molecular Rápido TB (TMR-TB);Resultado do exame do Teste Molecular Rápido para TB realizado para M. tuberculosis e resistência a rifampicina (amostra para diagnóstico);não cadastral;false
Teste de Sensibilidade;Resultado do teste de sensibilidade do paciente para conhecimento oportuno do padrão de resistência às drogas do esquema básico.;não cadastral;false
Data de início do tratamento atual;Data em que o paciente iniciou o tratamento atual. Em situações de transferência essa data deverá ser igual a data de início do tratamento onde o paciente diagnosticou e iniciou o tratamento.;não cadastral;false
Total de contatos identificados;Preencher o total de Contatos identificados pelo paciente na ocasião do diagnóstico do caso.;cadastral;false
UF de notificação atual;UF de notificação atual;não cadastral;false
Município de notificação atual;Município de notificação atual;não cadastral;false
Número de notificação atual;Número de notificação atual;não cadastral;false
Data de notificação atual;Data de notificação atual;não cadastral;false
