name;description;category1;category
Número do Cartão Nacional de Saúde (CNS);Identificação unívoca dos usuários das ações e serviços de saúde, com atribuição de um número único válido em todo o território nacional. (Port. nº 940/GM/MS/2011);cadastral;restrito
Justificativa da impossibilidade de identificação do Indivíduo;Razão pela qual não foi possível obter os dados de identificação do indivíduo no contato assistencial. (Port. nº 84/SAS/MS/1997 e Port. nº02/SAS/SGEP/MS/2012). Justificativa da Impossibilidade de Identificação do Indivíduo: Indivíduo acidentado grave, Indivíduo em sofrimento mental encontrado em via pública, Indivíduo com problema neurológico grave ou comatoso, Indivíduo incapacitado por motivos sociais e/ou culturais, Indivíduo doador de órgãos falecido, Sem registro no modelo de informação de origem;não cadastral;específico
Nome completo;;cadastral;restrito
Nome completo da mãe;;cadastral;restrito
Sexo;Texto codificado: Masculino, Feminino, Ignorado;não cadastral;amplo
Raça/Cor;Característica declarada pelas pessoas. Texto codificado conforme IBGE: Branca, Preta, Parda, Amarela, Indígena, Sem Informação;não cadastral;amplo
Data de nascimento;Estima-se e informa-se apenas o ano de nascimento para contatos assistenciais de indivíduos sem identificação.;cadastral;restrito
País de nascimento;O CNS utiliza os mesmos códigos do IBGE.;não cadastral;restrito
Município de nascimento;Preenchido somente se o país de nascimento for o Brasil.;cadastral;restrito
País de residência;O CNS utiliza os mesmos códigos do IBGE.;não cadastral;restrito
Município de residência;Preenchido somente se o país de residência for o Brasil.;não cadastral;amplo
CEP de residência;Preenchido somente se o país de residência for o Brasil.;cadastral;restrito
Número de identificação no CNES do estabelecimento de saúde que realizou o contato assistencial;Número de identificação no CNES (Cadastro Nacional de Estabelecimentos de Saúde) do estabelecimento de saúde que realizou o contato assistencial;não cadastral;amplo
Data da admissão;Admissão: aceitação do indivíduo para assistência em um estabelecimento de saúde. (adaptado de Admissão do Paciente, DeCS) Data da aceitação do indivíduo para início do contato assistencial.;não cadastral;restrito
Procedência;Identifica o serviço que encaminhou o indivíduo ou a sua iniciativa/de seu responsável na busca pelo acesso ao serviço de saúde. Texto codificado: 09- Demanda espontânea: indivíduo chega ao serviço de saúde por iniciativa própria ou acompanhado por um responsável, sem encaminhamento formal de outro serviço, 10 - Ordem Judicial: indivíduo atendido por força de uma determinação judicial, 11 - Retorno: indivíduo orientado a retornar ao serviço para continuidade do cuidado, 12 - Demanda referenciada: indivíduo encaminhado por outro serviço, seja por insuficiência de tecnologia, insuficiência de capacidade, para continuidade do cuidado ou pela condição de saúde do indivíduo, 99 - Sem registro no modelo de informação de origem;não cadastral;amplo
